"","Second.SampleID","First.SampleID","First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.year","Second.year","First.Lat.x","First.Lon.x","First.Date.x","First.Size.x","First.Size_type.x","First.Tail_color.x","First.Age.x","First.Sex.x","First.Collector.x","First.Notes.x","First.mass_g.x","First.Extracted..x","First.Digested..x","First.Ligated..x","Second.Lat.x","Second.Lon.x","Second.Date.x","Second.Size.x","Second.Size_type.x","Second.Tail_color.x","Second.Age.x","Second.Sex.x","Second.Collector.x","Second.Notes.x","Second.mass_g.x","Second.Extracted..x","Second.Digested..x","Second.Ligated..x","distkm","First.SampleID_dd","Second.SampleID_dd","First.Lat.y","First.Lon.y","First.Date.y","First.Size.y","First.Size_type.y","First.Tail_color.y","First.Age.y","First.Sex.y","First.Collector.y","First.Notes.y","First.mass_g.y","First.Extracted..y","First.Digested..y","First.Ligated..y","Second.Lat.y","Second.Lon.y","Second.Date.y","Second.Size.y","Second.Size_type.y","Second.Tail_color.y","Second.Age.y","Second.Sex.y","Second.Collector.y","Second.Notes.y","Second.mass_g.y","Second.Extracted..y","Second.Digested..y","Second.Ligated..y","First.LigID","Second.LigID","Mismatch.prop"
"36","APCL14_141","APCL13_187","APCL_13187L1621",264,"APCL_14141L0728",265,254,10,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6922137850087,"APCL_13187","APCL_14141",10.874049,124.7110515,"5/27/2013",10.1,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.633547,124.776866,"6/16/2014",6,"FL","O","A",NA,"MRS"," APCL 133 was on both 455 & 456, APCL 133 was on both 455 & 456",NA,"TRUE","TRUE","FALSE",NA,NA,0.0393700787401575
"22","APCL14_006","APCL13_089","APCL_13089L0424",265,"APCL_14006L0722",265,254,11,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148286230778814,"APCL_13089","APCL_14006",10.7440008,124.7863023,"5/24/2013",7.9,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.742899,124.787067,"6/7/2014",8.8,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0433070866141732
"25","APCL14_049","APCL13_565","APCL_13565L0670",265,"APCL_14049L1740",265,254,11,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361003875556023,"APCL_13565","APCL_14049",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",NA,NA,0.0433070866141732
"12","APCL13_430","APCL13_429","APCL_13429L0452",163,"APCL_13430L1637",204,156,7,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13429","APCL_13430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0448717948717949
"8","APCL13_333","APCL13_333","APCL_13333L0357",265,"APCL_13333L1721",265,253,12,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13333","APCL_13333",10.8553445,124.7268745,"5/29/2013",6.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8553445,124.7268745,"5/29/2013",6.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0474308300395257
"21","APCL13_651","APCL13_639","APCL_13639L0979",265,"APCL_13651L1725",265,253,12,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67829654662487,"APCL_13639","APCL_13651",10.8732035,124.712417,"6/4/2013",5.8,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8607693,124.7211288,"6/4/2013",7.7,"FL","O","A",NA,"MLP","on sand, not even close to the reef, so couldn't tag",NA,"TRUE","TRUE","FALSE",NA,NA,0.0474308300395257
"27","APCL14_049","APCL13_565","APCL_13565L1735",265,"APCL_14049L1740",265,253,12,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361003875556023,"APCL_13565","APCL_14049",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",NA,NA,0.0474308300395257
"31","APCL14_088","APCL13_654","APCL_13654L0697",264,"APCL_14088L0922",265,252,12,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67392298758622,"APCL_13654","APCL_14088",10.8611258,124.721478,"6/4/2013",3.1,"FL","W","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.872858,124.711873,"6/13/2014",8.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0476190476190476
"9","APCL13_334","APCL13_333","APCL_13333L1721",265,"APCL_13334L0358",233,222,11,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617444464575997,"APCL_13333","APCL_13334",10.8553445,124.7268745,"5/29/2013",6.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8553973,124.726892,"5/29/2013",8.9,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0495495495495495
"33","APCL14_126","APCL13_150","APCL_13150L1101",265,"APCL_14126L1321",250,238,12,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13150","APCL_14126",10.640803,124.785089,"5/26/2013",3.2,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,"6/16/2014",8.1,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0504201680672269
"59","APCL14_498","APCL14_442","APCL_14442L1732",265,"APCL_14498L0969",250,238,12,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9206287638806,"APCL_14442","APCL_14498",10.871634,124.714112,"6/24/2014",5,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.809171,124.76537,"6/28/2014",9.3,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0504201680672269
"16","APCL13_565","APCL13_565","APCL_13565L0670",265,"APCL_13565L1735",265,252,13,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13565","APCL_13565",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0515873015873016
"26","APCL14_049","APCL14_049","APCL_14049L0726",265,"APCL_14049L1740",265,252,13,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000134258785931453,"APCL_14049","APCL_14049",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",NA,NA,0.0515873015873016
"35","APCL14_126","APCL13_150","APCL_13150L1101",265,"APCL_14126L1701",265,252,13,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13150","APCL_14126",10.640803,124.785089,"5/26/2013",3.2,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,"6/16/2014",8.1,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0515873015873016
"60","APCL14_509","APCL14_255","APCL_14255L0737",265,"APCL_14509L1705",265,252,13,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4421414483763,"APCL_14255","APCL_14509",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.79974,124.76825,"6/29/2014",3.9,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0515873015873016
"17","APCL13_584","APCL13_584","APCL_13584L0677",265,"APCL_13584L1736",263,250,13,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13584","APCL_13584",10.6339953,124.7767205,"6/3/2013",8.2,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.6339953,124.7767205,"6/3/2013",8.2,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.052
"63","APCL14_509","APCL14_255","APCL_14255L1742",262,"APCL_14509L1705",265,249,13,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4421414483763,"APCL_14255","APCL_14509",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.79974,124.76825,"6/29/2014",3.9,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0522088353413655
"19","APCL13_651","APCL13_639","APCL_13639L0979",265,"APCL_13651L0980",265,251,14,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67829654662487,"APCL_13639","APCL_13651",10.8732035,124.712417,"6/4/2013",5.8,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8607693,124.7211288,"6/4/2013",7.7,"FL","O","A",NA,"MLP","on sand, not even close to the reef, so couldn't tag",NA,"TRUE","TRUE","FALSE",NA,NA,0.0557768924302789
"29","APCL14_049","APCL13_565","APCL_13565L1735",265,"APCL_14049L0726",265,251,14,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361003875556023,"APCL_13565","APCL_14049",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",NA,NA,0.0557768924302789
"39","APCL14_246","APCL13_653","APCL_13653L0696",265,"APCL_14246L0712",265,251,14,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025195441754241,"APCL_13653","APCL_14246",10.8611258,124.721478,"6/4/2013",3.6,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.86133,124.721578,"6/18/2014",4.4,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0557768924302789
"64","APCL14_553","APCL13_362","APCL_13362L0377",265,"APCL_14553L0974",263,249,14,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94483581640333,"APCL_13362","APCL_14553",10.860759,124.7220953,"5/29/2013",3.8,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.874333,124.710864,"7/2/2014",6.1,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0562248995983936
"40","APCL14_255","APCL14_255","APCL_14255L0737",265,"APCL_14255L1742",262,248,14,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49352979660034e-05,"APCL_14255","APCL_14255",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0564516129032258
"58","APCL14_452","APCL14_452","APCL_14452L0744",265,"APCL_14452L1754",253,239,14,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_14452","APCL_14452",10.859822,124.722686,"6/26/2014",7.7,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.859822,124.722686,"6/26/2014",7.7,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0585774058577406
"49","APCL14_317","APCL14_309","APCL_14309L1728",265,"APCL_14317L0806",265,250,15,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199698379431088,"APCL_14309","APCL_14317",10.635068,124.776215,"6/22/2014",8.3,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.635228,124.776132,"6/22/2014",7.1,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.06
"50","APCL14_423","APCL14_399","APCL_14399L0798",265,"APCL_14423L1746",263,248,15,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0348394435515082,"APCL_14399","APCL_14423",10.871527,124.714255,"6/23/2014",5.5,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.871697,124.713987,"6/24/2014",5.5,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0604838709677419
"41","APCL14_255","APCL13_587","APCL_13587L0678",265,"APCL_14255L1742",262,247,15,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186549672236793,"APCL_13587","APCL_14255",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0607287449392713
"42","APCL14_255","APCL13_587","APCL_13587L1737",265,"APCL_14255L1742",262,247,15,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186549672236793,"APCL_13587","APCL_14255",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0607287449392713
"54","APCL14_425","APCL14_425","APCL_14425L1343",253,"APCL_14425L1729",265,238,15,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_14425","APCL_14425",10.871701,124.713919,"6/24/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.871701,124.713919,"6/24/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0630252100840336
"20","APCL13_651","APCL13_651","APCL_13651L0980",265,"APCL_13651L1725",265,249,16,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13651","APCL_13651",10.8607693,124.7211288,"6/4/2013",7.7,"FL","O","A",NA,"MLP","on sand, not even close to the reef, so couldn't tag",NA,"TRUE","TRUE","FALSE",10.8607693,124.7211288,"6/4/2013",7.7,"FL","O","A",NA,"MLP","on sand, not even close to the reef, so couldn't tag",NA,"TRUE","TRUE","FALSE",NA,NA,0.0642570281124498
"38","APCL14_155","APCL13_584","APCL_13584L0677",265,"APCL_14155L0730",265,249,16,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6009258329896,"APCL_13584","APCL_14155",10.6339953,124.7767205,"6/3/2013",8.2,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.873714,124.711159,"6/17/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0642570281124498
