lat,long,notes
10.8716455,124.7141815,HECR
10.8716455,124.7141815,HECR  w/ 1   APCL
10.8716195,124.714207,HECR
10.8716195,124.714207,HECR
10.8716195,124.714207,HECR  w/ 1   APPE
10.8716195,124.714207,HECR  w/ 2   APCL
10.87161425,124.7142615,HECR
10.87161425,124.7142615,HECR
10.87161425,124.7142615,HECR  w/ 1   APPE
10.87161425,124.7142615,HECR  w/ 1   APCL
10.87161425,124.7142615,HECR
10.87161425,124.7142615,HECR  w/ 1   APPE
10.87161425,124.7142615,HECR  w/ 1   APPE
10.871585,124.714269,HECR
10.871585,124.714269,HECR  w/ 1   APCL
10.871585,124.714269,HECR
10.871585,124.714269,HECR
10.871585,124.714269,HECR
10.871585,124.714269,HECR  w/ 1   APCL
10.871505,124.714281,HECR
10.871505,124.714281,HECR
10.871505,124.714281,HECR  w/ 1   APCL
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87149225,124.7142753,HECR
10.87148575,124.7142653,HECR  w/ 1   APCL
10.85497325,124.7273393,HECR  w/ 1   APPE
10.855001,124.727396,HECR  w/ 2   APPE
10.85497925,124.727463,HECR  w/ 1   APPE
10.85497925,124.727463,HECR
10.85497925,124.727463,HECR  w/ 2   APPE
10.85496775,124.727497,HECR  w/ 2   APPE
10.8549525,124.7275335,HECR  w/ 2   APCL
10.8549685,124.7275645,HECR  w/ 1   APPE
10.854901,124.7276873,HECR  w/ 1   APPE
10.85489575,124.7277678,HECR  w/ 2   APPE
10.85491625,124.7277798,HECR  w/ 1   APCL
10.85499875,124.7276428,HECR  w/ 1   APCL
10.85502525,124.7273755,HECR  w/ 2   APPE
10.85500575,124.7272218,HECR  w/ 3   APPE
10.85500575,124.7272218,HECR  w/ 1   APPE
10.855132,124.7270573,HECR  w/ 3   APPE
10.855198,124.7269948,HECR  w/ 1   APCL
10.8561645,124.725951,HECR  w/ 1   APCL
10.8561965,124.7259233,ENQD  w/ 2   APCL
10.85631525,124.7258458,ENQD
10.85631525,124.7258458,ENQD  w/ 3   APCL
10.85631525,124.7258458,ENQD
10.85640975,124.7258435,HECR  w/ 2   APPE
10.85644375,124.7258173,HECR  w/ 3   APPE
10.85644375,124.7258173,HECR  w/ 1   APPE
10.856506,124.7257393,HECR  w/ 3   APCL
10.85654025,124.7256745,HECR  w/ 2   APCL
10.856714,124.725494,HECR  w/ 2   APCL
10.85671875,124.7254375,HECR  w/ 2   APPE
10.856732,124.725421,HECR  w/ 3   APCL
10.8568075,124.7253465,HECR  w/ 2   APPE
10.8572275,124.7249385,HECR  w/ 2   APCL
10.85746025,124.7247223,HECR  w/ 4   APCL
10.85770175,124.7245388,ENQD  w/ 4   APCL
10.8577185,124.7245445,HECR  w/ 1   APCL
10.85772875,124.7245645,ENQD
10.85778175,124.724569,ENQD
10.85778175,124.724569,ENQD
10.85778175,124.724569,ENQD  w/ 4   APCL
10.85778175,124.724569,ENQD  w/ 6   APCL
10.85809275,124.724382,HECR  w/ 2   APPE
10.85814775,124.7242403,HECR  w/ 1   APCL
10.8582085,124.7242058,HECR  w/ 2   APCL
10.858449,124.7243635,HECR
10.85844475,124.7243618,HECR  w/ 1   APCL
10.85841025,124.7243528,HECR  w/ 1   APCL
10.85839475,124.7243668,HECR  w/ 1   APCL
10.8583685,124.7243745,HECR  w/ 1   APCL
10.85831425,124.7242535,HECR
10.85828975,124.7242273,HECR  w/ 2   APPE
10.85841475,124.723845,HECR  w/ 1   APCL
10.85841475,124.723845,HECR  w/ 2   APPE
10.85841475,124.723845,MADO  w/ 2   APCL
10.85916125,124.723459,HECR  w/ 2   APPE
10.85919725,124.7234355,HECR  w/ 3   APCL
10.85970725,124.723,HECR
10.85970725,124.723,HECR
10.8598185,124.7228785,HECR  w/ 2   APPE
10.8598185,124.7228785,HECR
10.859828,124.7228483,HECR
10.8598375,124.7227833,HECR  w/ 1   APCL
10.8598375,124.7227833,HECR  w/ 2   APCL
10.85979725,124.7227333,HECR
10.85979725,124.7227333,HECR
10.85979725,124.7227333,HECR  w/ 1   APCL
10.85979075,124.7226745,HECR  w/ 2   APPE
10.85976575,124.7226073,HECR  w/ 1   APCL
10.7566295,124.7859855,HECR  w/ 2   APCL
10.7565465,124.7858415,HECR  w/ 2   APCL
10.7565385,124.785837,HECR  w/ 1   APPE
10.756325,124.7857805,HECR
10.7562685,124.785746,HECR  w/ 1   APCL
10.7562425,124.7857075,HECR  w/ 1   APCL
10.75624125,124.7856583,HECR  w/ 2   APCL
10.756236,124.7856555,HECR  w/ 1   APCL
10.75618525,124.7856525,HECR
10.75548825,124.785297,HECR
10.75543375,124.7852833,HECR  w/ 1   APCL
10.755149,124.78508,HECR  w/ 3   APCL
10.75503975,124.7851008,HECR  w/ 2   APCL
10.754961,124.7850735,HECR  w/ 1   APCL
10.754961,124.7850735,HECR
10.7549515,124.785067,HECR  w/ 2   APCL
10.75472525,124.7849968,HECR  w/ 2   APPE
10.7544665,124.7848663,HECR  w/ 1   APCL
10.75341675,124.7844818,HECR  w/ 2   APCL
10.75336925,124.7844755,HECR  w/ 2   APCL
10.7532715,124.7844035,HECR  w/ 1   APCL
10.7526485,124.784139,HECR  w/ 2   APCL
10.76349825,124.7852425,HECR  w/ 2   APCL
10.7635375,124.7852195,HECR  w/ 1   APCL
10.763817,124.785154,HECR  w/ 1   APPE
10.7638505,124.7851635,HECR  w/ 1   APCL
10.7638505,124.7851635,HECR  w/ 1   APPE
10.7640445,124.7851795,HECR  w/ 1   APCL
10.7640445,124.7851795,HECR  w/ 1   APCL
10.7640445,124.7851795,HECR  w/ 1   APCL
10.764088,124.7851968,HECR  w/ 1   APPE
10.76415025,124.7852165,HECR
10.7641795,124.7852345,HECR  w/ 2   APCL
10.764224,124.7852615,HECR  w/ 3   APCL
10.7642495,124.7852575,HECR  w/ 1   APPE
10.76426075,124.7852628,HECR  w/ 3   APCL
10.764465,124.7853463,HECR  w/ 1   APCL
10.77411975,124.7829835,HECR  w/ 2   APCL
10.7729155,124.7831233,HECR  w/ 3   APCL
10.76838875,124.7840223,HECR  w/ 3   APCL
10.768498,124.783957,HECR  w/ 1   APCL
10.768498,124.783957,HECR  w/ 2   APCL
10.768498,124.783957,HECR  w/ 2   APPE
10.768524,124.7839633,HECR  w/ 1   APCL
10.768524,124.7839633,HECR  w/ 1   APCL
10.7685775,124.7839005,HECR  w/ 1   APCL
10.76861725,124.7839023,HECR  w/ 1   APPE
10.76863125,124.7839045,HECR  w/ 2   APPE
10.768667,124.783852,HECR
10.768763,124.783833,HECR  w/ 2   APPE
10.768763,124.783833,HECR  w/ 1   APPE
10.7688515,124.7838083,HECR  w/ 3   APCL
10.768876,124.7837245,HECR  w/ 2   APCL
10.76890925,124.783691,HECR  w/ 3   APPE
10.76890675,124.7836625,HECR  w/ 2   APPE
10.76895975,124.783651,HECR  w/ 1   APPE
10.768982,124.783656,HECR  w/ 2   APCL
10.76898125,124.7836835,HECR  w/ 2   APCL
10.76898275,124.7836268,ENQD  w/ 2   APFR
10.7690545,124.783583,HECR  w/ 3   APPE
10.76908875,124.7835943,HECR  w/ 1   APCL
10.769157,124.783641,HECR  w/ 2   APPE
10.769173,124.783621,HECR  w/ 1   APPE
10.76920625,124.783585,HEMG  w/ 2   APPE
10.76920625,124.783585,HECR  w/ 1   APPE
10.76932,124.7835388,HECR  w/ 1   APPE
10.76932,124.7835388,ENQD  w/ 2   APFR
10.76932,124.7835388,HECR
10.76931425,124.7835865,HECR  w/ 2   APCL
10.76919025,124.783642,HECR  w/ 1   APCL
10.76875525,124.7838718,HECR  w/ 1   APCL
10.768647,124.7839183,????  w/ 1   APCL
10.7684375,124.784041,????  w/ 1   APCL
