Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2566,809,L0731,768,768,34,-1.85836040884526E+0002, 0.00000000000000E+0000,,L0994,809,809,10,-5.93384271084053E+0001,-5.93384271084053E+0001,*,809,45,-2.48920666496236E+0002, 0.00000000000000E+0000,,
L2424,802,L0913,809,802,28,-1.60509017619981E+0002,-1.60509017619981E+0002,-,L0994,809,802,14,-7.80457514695533E+0001,-7.80457514695533E+0001,*,802,43,-2.44519162310734E+0002,-2.44519162310734E+0002,-,
L2424,802,L0994,809,802,14,-7.80457514695533E+0001,-7.80457514695533E+0001,*,L1671,789,782,35,-1.83460014427771E+0002, 0.00000000000000E+0000,,802,47,-2.50395042154558E+0002, 0.00000000000000E+0000,,
L2577,809,L0994,809,809,13,-6.70718885729830E+0001, 0.00000000000000E+0000,,L1283,806,806,17, 8.28568494220312E+0001, 8.28568494220312E+0001,*,809,36,-2.07464768140147E+0001,-2.07464768140147E+0001,*,
L2577,809,L0281,809,809,25,-2.57460210292168E+0000,-2.57460210292168E+0000,*,L0994,809,809,13,-6.70718885729830E+0001, 0.00000000000000E+0000,,809,43,-9.95025402347519E+0001, 0.00000000000000E+0000,,
L2377,797,L2356,806,794,4, 1.12067945310788E+0002, 1.12067945310788E+0002,*,L2357,804,792,7, 1.04749218741995E+0002, 1.04749218741995E+0002,*,797,12, 2.77831083823693E+0002, 2.77831083823693E+0002,*,
L2377,797,L0994,809,797,11,-6.78684176825863E+0001, 0.00000000000000E+0000,,L2356,806,794,4, 1.12067945310788E+0002, 1.12067945310788E+0002,*,797,21, 1.21361943964259E+0001, 0.00000000000000E+0000,,
L2274,785,L0913,809,785,28,-1.48543030305250E+0002, 0.00000000000000E+0000,,L0994,809,785,10,-5.77279368406832E+0001,-5.77279368406832E+0001,*,785,38,-2.07761795946692E+0002,-2.07761795946692E+0002,-,
L2274,785,L0886,809,785,27,-1.40697242937282E+0002,-1.40697242937282E+0002,*,L0994,809,785,10,-5.77279368406832E+0001,-5.77279368406832E+0001,*,785,39,-2.09157541568663E+0002, 0.00000000000000E+0000,,
L2568,809,L0994,809,809,14,-7.47839135342729E+0001,-7.47839135342729E+0001,*,L1607,809,809,26,-1.37080382783991E+0002,-1.37080382783991E+0002,*,809,39,-2.07212629705595E+0002,-2.07212629705595E+0002,-,
L2568,809,L0994,809,809,14,-7.47839135342729E+0001,-7.47839135342729E+0001,*,L1671,789,789,35,-1.85546421974368E+0002, 0.00000000000000E+0000,,809,47,-2.52128849747191E+0002, 0.00000000000000E+0000,,
