First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_14309L1728,265,APCL_14317L0806,265,250,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14310L0597,262,APCL_14310L1748,263,242,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14310L1748,263,APCL_14318L1300,265,242,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14317L1743,265,APCL_14518L1708,179,156,23, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14399L0798,265,APCL_14423L1341,265,243,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14399L0798,265,APCL_14423L1746,263,248,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14400L0799,265,APCL_14424L1342,264,242,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14400L0799,265,APCL_14424L1747,265,249,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14401L1005,265,APCL_14425L1343,253,235,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14401L1005,265,APCL_14425L1729,265,249,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14423L1341,265,APCL_14423L1746,263,236,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14424L1342,264,APCL_14424L1747,265,243,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14425L1343,253,APCL_14425L1729,265,238,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14442L1732,265,APCL_14498L0969,250,238,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14452L0744,265,APCL_14452L1754,253,239,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14557L1350,178,APCL_14557L1717,265,154,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
