fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
78.1,YR,48,NA,5.9,NA,4,11:34:00,MRS,3,4.1,NA,HECR,30,NA,2193,NA,APCL,One small one got away,6882,288
78.2,NA,NA,NA,3,NA,4,11:34:00,MRS,3,4.1,NA,HECR,30,NA,2193,NA,APCL,One small one got away,6882,288
79.1,W,51,NA,5.1,NA,4,11:53:00,MRS,3,4.3,NA,HECR,NA,NA,2194,NA,APCL,NA,6883,288
79.2,NA,NA,NA,2,NA,4,11:53:00,MRS,3,4.3,NA,HECR,NA,NA,2194,NA,APCL,NA,6883,288
80.1,O,49,NA,9.2,NA,4,12:05:00,MRS,3,4.7,NA,HECR,20,NA,495,NA,APCL,NA,6884,288
80.2,YP,54,NA,7.1,NA,4,12:05:00,MRS,3,4.7,NA,HECR,20,NA,495,NA,APCL,NA,6884,288
80.3,YR,50,NA,4.4,NA,4,12:05:00,MRS,3,4.7,NA,HECR,20,NA,495,NA,APCL,NA,6884,288
81.1,YP,52,NA,10.3,NA,4,12:10:00,MRS,3,4.1,NA,HECR,10,NA,2195,NA,APCL,Two small fish sizes highly estimated.,6885,288
81.2,O,53,NA,9.6,NA,4,12:10:00,MRS,3,4.1,NA,HECR,10,NA,2195,NA,APCL,Two small fish sizes highly estimated.,6885,288
81.3,NA,NA,NA,5,NA,4,12:10:00,MRS,3,4.1,NA,HECR,10,NA,2195,NA,APCL,Two small fish sizes highly estimated.,6885,288
81.4,NA,NA,NA,2,NA,4,12:10:00,MRS,3,4.1,NA,HECR,10,NA,2195,NA,APCL,Two small fish sizes highly estimated.,6885,288
82.1,YR,57,NA,6.1,NA,5,14:03:00,MRS,3,4.9,NA,HECR,30,NA,2197,NA,APCL,NA,6886,289
82.2,NA,NA,NA,5,NA,5,14:03:00,MRS,3,4.9,NA,HECR,30,NA,2197,NA,APCL,NA,6886,289
82.3,NA,NA,NA,3,NA,5,14:03:00,MRS,3,4.9,NA,HECR,30,NA,2197,NA,APCL,NA,6886,289
83.1,O,55,NA,10.7,NA,5,14:10:00,MRS,3,4.7,NA,STME,40,488,2196,NA,APCL,NA,6887,289
83.2,O,56,NA,10.3,NA,5,14:10:00,MRS,3,4.7,NA,STME,40,488,2196,NA,APCL,NA,6887,289
86.1,NA,NA,NA,5,NA,5,14:15:00,MRS,3,5.6,NA,MADO,30,NA,964,NA,APPE,NA,6890,289
87.1,NA,NA,NA,9,NA,5,14:20:00,MRS,3,5.3,NA,HECR,30,NA,946,NA,APPE,Anemone size assumed to be same as the one before based on field notes.,6891,289
87.2,NA,NA,NA,5,NA,5,14:20:00,MRS,3,5.3,NA,HECR,30,NA,946,NA,APPE,Anemone size assumed to be same as the one before based on field notes.,6891,289
89.1,NA,NA,NA,9,NA,5,14:31:00,MRS,3,5.1,NA,HECR,30,NA,487,NA,APPE,NA,6893,289
89.2,NA,NA,NA,7,NA,5,14:31:00,MRS,3,5.1,NA,HECR,30,NA,487,NA,APPE,NA,6893,289
90.1,NA,NA,NA,9,NA,5,14:33:00,MRS,3,5.1,NA,HECR,30,NA,486,NA,APPE,NA,6894,289
90.2,NA,NA,NA,5,NA,5,14:33:00,MRS,3,5.1,NA,HECR,30,NA,486,NA,APPE,NA,6894,289
91.1,NA,NA,NA,9,NA,5,14:35:00,MRS,3,5.7,NA,HECR,30,NA,2007,NA,APCL,Two large fish swam away. Anemone spp marked based on Malin's memory. It was pulled into a crack when Michelle saw it.,6895,289
