fish_table_id,anem_table_id,fish_spp,size,fin_id,sample_id,color,gen_id,recap,tag_id,fish_obs_time,notes,collector,correction,corr_date,corr_editor,corr_message
7592,7319,APCL,5.6,285,APCL16_285,YR,NA,N,985153000403806,NA,These fish swim back and forth between anem 2306 and 2307,MRS,NA,NA,NA,NA
7588,7318,APCL,8,284,APCL16_284,YP,NA,N,985153000402617,NA,NA,MRS,NA,NA,NA,NA
7584,7316,APCL,7.8,281,APCL16_281,O,NA,N,985153000405176,NA,NA,MRS,NA,NA,NA,NA
7583,7315,APCL,10,280,APCL16_280,O,NA,N,985153000406278,NA,NA,MRS,NA,NA,NA,NA
7580,7314,APCL,7,278,APCL16_278,O,NA,N,985153000405234,NA,NA,MRS,NA,NA,NA,NA
7568,7304,APCL,7.2,274,APCL16_274,O,NA,N,985153000407247,NA,NA,MRS,NA,NA,NA,NA
7564,7302,APCL,6.7,272,APCL16_272,YR,NA,N,985153000404233,NA,NA,MRS,NA,NA,NA,NA
7548,7296,APCL,6,265,APCL16_265,YR,NA,N,985153000403323,NA,NA,MRS,NA,NA,NA,NA
7536,7289,APCL,6.9,260,APCL16_260,O,NA,N,985153000350978,NA,NA,MRS,NA,NA,NA,NA
7528,7284,APCL,8.9,253,APCL16_253,O,NA,N,985153000405779,NA,NA,MRS,NA,NA,NA,NA
7516,7265,APCL,9.2,250,APCL16_250,O,NA,N,985153000402303,NA,These fish are from the group of anemones visible at 10:45,MRS,NA,NA,NA,NA
7512,7265,APCL,9.9,246,APCL16_246,O,NA,N,985153000405647,NA,These fish are from the group of anemones visible at 10:45,MRS,NA,NA,NA,NA
7508,7259,APCL,9.6,244,APCL16_244,YP,NA,N,985153000401703,NA,NA,MRS,NA,NA,NA,NA
7496,7218,APCL,4.4,239,APCL16_239,YR,NA,N,NA,NA,Anemone is very pink,MRS,NA,NA,NA,NA
7488,7213,APCL,5,231,APCL16_231,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7468,7191,APCL,8.5,226,APCL16_226,YP,NA,N,985153000401130,NA,NA,MRS,NA,NA,NA,NA
7464,7187,APCL,9.4,229,APCL16_229,O,NA,N,985153000405229,NA,unreadable old tag,MRS,NA,NA,NA,NA
7452,7174,APCL,9,219,APCL16_219,O,NA,N,985153000401024,NA,NA,MRS,NA,NA,NA,NA
7444,7170,APCL,6.8,217,APCL16_217,YP,NA,N,985153000401563,NA,Tag 400963 did not go in well; 8.5cm fish has a very thin edge of orange,MRS,NA,NA,NA,NA
7440,7166,APCL,4.5,215,APCL16_215,YR,NA,N,NA,NA,NA,MLP,NA,NA,NA,NA
7436,7164,APCL,3.6,214,APCL16_214,YR,NA,N,NA,NA,NA,MLP,NA,NA,NA,NA
7420,7156,APCL,4.9,209,APCL16_209,YR,NA,N,NA,NA,NA,MLP,NA,NA,NA,NA
7416,7153,APCL,3.6,211,APCL16_211,YR,NA,N,NA,NA,Old tag unreadable,MLP,NA,NA,NA,NA
7408,7149,APCL,5.5,205,APCL16_205,YR,NA,N,985153000403206,NA,NA,MLP,NA,NA,NA,NA
7404,7145,APCL,8.4,201,APCL16_201,O,NA,N,985153000404797,NA,NA,MLP,NA,NA,NA,NA
7400,7144,APCL,9,198,APCL16_198,YP,NA,N,985153000401773,NA,NA,MLP,NA,NA,NA,NA
7396,7143,APCL,6.8,195,APCL16_195,YP,NA,N,985153000407161,NA,In cobble,MLP,NA,NA,NA,NA
7392,7142,APCL,5.3,197,APCL16_197,O,NA,N,985153000406583,NA,NA,MLP,NA,NA,NA,NA
7324,7113,APCL,6.1,172,APCL16_172,YR,NA,N,985153000401844,NA,NA,MRS,NA,NA,NA,NA
8383,8084,APCL,10,NA,NA,YP,NA,Y,985153000404075,NA,NA,MRS,NA,NA,NA,NA
7261,7061,APCL,6.6,145,APCL16_145,YR,NA,N,985153000407113,NA,NA,MRS,NA,NA,NA,NA
7204,7025,APCL,9.3,127,APCL16_127,O,NA,N,985153000400487,NA,NA,MRS,NA,NA,NA,NA
8255,7976,APCL,4.3,737,APCL16_737,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7101,6965,APCL,8.6,97,APCL16_097,YP,NA,N,985153000402631,NA,Data sheet as the Y fish as YP (when estimated from afar) and YR when fin-clipped. We decided it was probably YP based on size.,MRS,NA,NA,NA,NA
7069,6941,APCL,9.8,89,APCL16_089,O,NA,N,985153000407411,NA,NA,MRS,NA,NA,NA,NA
7037,6925,APCL,8,80,APCL16_080,YP,NA,N,985153000403168,NA,Malin estimated 2 small fish sizes,MRS,NA,NA,NA,NA
7005,6909,APCL,11,65,APCL16_065,O,NA,NA,NA,NA,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,MRS,NA,NA,NA,NA
6980,6896,APCL,5.7,58,APCL16_058,YR,NA,NA,NA,NA,"Note says: ""two larger from before"" (perhaps because two large fish with fins clipped?)",MRS,NA,NA,NA,NA
6964,6887,APCL,10.7,55,APCL16_055,O,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
6941,6878,APCL,9.8,45,APCL16_045,O,NA,NA,NA,NA,Also two small ones,MRS,NA,NA,NA,NA
7407,7148,APCL,9.4,204,APCL16_204,O,NA,N,985153000403605,NA,7.9 O fish has very thin orange edges,MLP,NA,NA,NA,NA
7419,7156,APCL,5.9,208,APCL16_208,YR,NA,N,985153000401829,NA,NA,MLP,NA,NA,NA,NA
7471,7197,APCL,9.5,228,APCL16_228,YP,NA,N,985153000406582,NA,NA,MRS,NA,NA,NA,NA
7487,7212,APCL,8.6,234,APCL16_234,O,NA,N,985153000403998,NA,NA,MRS,NA,NA,NA,NA
7503,7222,APCL,5.9,242,APCL16_242,YR,NA,N,985153000402201,NA,NA,MRS,NA,NA,NA,NA
7507,7244,APCL,4,243,APCL16_243,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7535,7289,APCL,8.6,259,APCL16_259,O,NA,N,985153000400875,NA,NA,MRS,NA,NA,NA,NA
7551,7297,APCL,9.3,267,APCL16_267,O,NA,N,985153000405084,NA,NA,MRS,NA,NA,NA,NA
7533,7289,APCL,7.5,257,APCL16_257,YP,NA,N,985153000406665,NA,NA,MRS,NA,NA,NA,NA
7714,7401,APCL,8.7,353,APCL16_353,O,NA,Y,985153000403055,NA,NA,MRS,NA,NA,NA,NA
7723,7402,APCL,6.1,368,APCL16_368,YR,NA,N,985153000355793,NA,NA,MRS,NA,NA,NA,NA
7751,7451,APCL,8.9,392,APCL16_392,YP,NA,N,985153000355209,NA,NA,MRS,NA,NA,NA,NA
7755,7471,APCL,8,395,APCL16_395,O,NA,N,985153000370633,NA,NA,MRS,NA,NA,NA,NA
7754,7471,APCL,3.6,394,APCL16_394,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7763,7491,APCL,6.2,402,APCL16_402,YR,NA,N,985153000370477,NA,NA,MRS,NA,NA,NA,NA
7767,7491,APCL,NA,NA,NA,NA,NA,N,985153000363602,NA,NA,MRS,NA,NA,NA,NA
7771,7492,APCL,4.2,408,APCL16_408,YR,NA,N,NA,NA,,MRS,NA,NA,NA,NA
7779,7531,APCL,NA,NA,NA,NA,NA,N,985153000355759,NA,NA,MRS,NA,NA,NA,NA
7783,7571,APCL,8.6,NA,NA,O,NA,Y,985153000399528,NA,NA,MRS,NA,NA,NA,NA
7799,7592,APCL,9,428,APCL16_428,O,NA,N,985153000368771,NA,NA,MRS,NA,NA,NA,NA
7821,7645,APCL,9.2,441,APCL16_441,O,NA,N,985153000372151,NA,NA,MRS,NA,NA,NA,NA
6805,6794,APCL,9.6,NA,NA,YP,NA,Y,985153000372731,NA,NA,MRS,NA,NA,NA,NA
7325,7113,APCL,7.1,173,APCL16_173,O,NA,N,985153000407050,NA,NA,MRS,NA,NA,NA,NA
