Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_12111L1771,1001,APCL_14168L0912_APCL14_166,1012,1001,4,-5.90355540784998E+0001,-5.90355540784998E+0001,*,APCL_14197L1276_APCL14_195,1012,1001,9,-8.01233212047816E+0001, 0.00000000000000E+0000,,1001,23,-1.89180255883508E+0002,-1.89180255883508E+0002,-,
APCL_12111L1771,1001,APCL_14163L1292_APCL14_161,1012,1001,9,-7.50345536377665E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,1001,4,-5.90355540784998E+0001,-5.90355540784998E+0001,*,1001,24,-1.95199646624258E+0002, 0.00000000000000E+0000,,
APCL_12113L1772,994,APCL_14157L0715_APCL14_155,1012,994,4,-4.74130784547987E+0001,-4.74130784547987E+0001,*,APCL_14158L0909_APCL14_156,1012,994,2,-4.53813179279454E+0001,-4.53813179279454E+0001,*,994,11,-1.32514897282943E+0002,-1.32514897282943E+0002,*,
APCL_12113L1772,994,APCL_14156L0908_APCL14_154,1012,994,9,-5.94081187898457E+0001, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,994,2,-4.53813179279454E+0001,-4.53813179279454E+0001,*,994,22,-1.77144392000056E+0002, 0.00000000000000E+0000,,
APCL_12116L1773,1010,APCL_13277L0310,662,662,2, 1.77411473860658E+0002, 1.77411473860658E+0002,*,APCL_13517L0663,1012,1010,16, 2.34132469451818E+0001, 2.34132469451818E+0001,*,1010,35, 1.07275436582517E+0002, 1.07275436582517E+0002,*,
APCL_12116L1773,1010,APCL_13277L0310,662,662,2, 1.77411473860658E+0002, 1.77411473860658E+0002,*,APCL_14210L0916_APCL14_208,1012,1010,3,-3.03358923670860E+0001, 0.00000000000000E+0000,,1010,10, 1.02452304573548E+0002, 0.00000000000000E+0000,,
APCL_12118L1774,1007,APCL_14158L0909_APCL14_156,1012,1007,3,-2.93637616711242E+0001,-2.93637616711242E+0001,*,APCL_14197L1276_APCL14_195,1012,1007,13,-8.23823016510177E+0001, 0.00000000000000E+0000,,1007,24,-1.78336805801696E+0002,-1.78336805801696E+0002,-,
APCL_12118L1774,1007,APCL_14158L0909_APCL14_156,1012,1007,3,-2.93637616711242E+0001,-2.93637616711242E+0001,*,APCL_14198L0718_APCL14_196,1010,1005,12,-8.80459718343664E+0001, 0.00000000000000E+0000,,1007,23,-1.79306262174747E+0002, 0.00000000000000E+0000,,
APCL_12120L1775,1012,APCL_14158L0909_APCL14_156,1012,1012,0,-5.77451917191748E+0000,-5.77451917191748E+0000,*,APCL_14168L0912_APCL14_166,1012,1012,9,-9.03608070440889E+0001, 0.00000000000000E+0000,,1012,19,-1.61328797790909E+0002,-1.61328797790909E+0002,-,
APCL_12120L1775,1012,APCL_14158L0909_APCL14_156,1012,1012,0,-5.77451917191748E+0000,-5.77451917191748E+0000,*,APCL_14198L0718_APCL14_196,1010,1010,15,-9.40542246558561E+0001, 0.00000000000000E+0000,,1012,22,-1.62265414987672E+0002, 0.00000000000000E+0000,,
APCL_12121L1776,1012,APCL_14158L0909_APCL14_156,1012,1012,8,-9.00698870347942E+0001,-9.00698870347942E+0001,*,APCL_14204L0994_APCL14_202,1012,1012,14,-1.19901555033612E+0002, 0.00000000000000E+0000,,1012,24,-2.38345479120562E+0002,-2.38345479120562E+0002,-,
APCL_12121L1776,1012,APCL_14157L0715_APCL14_155,1012,1012,10,-1.02273633272553E+0002, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,1012,8,-9.00698870347942E+0001,-9.00698870347942E+0001,*,1012,23,-2.39197066685212E+0002, 0.00000000000000E+0000,,
APCL_12153L1777,1012,APCL_14158L0909_APCL14_156,1012,1012,4,-7.57790743858371E+0001,-7.57790743858371E+0001,*,APCL_14168L0912_APCL14_166,1012,1012,8,-6.73223817410281E+0001,-6.73223817410281E+0001,*,1012,20,-2.08929353143454E+0002,-2.08929353143454E+0002,-,
APCL_12153L1777,1012,APCL_14157L0715_APCL14_155,1012,1012,8,-8.72519076084094E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,1012,8,-6.73223817410281E+0001,-6.73223817410281E+0001,*,1012,24,-2.13653184896155E+0002, 0.00000000000000E+0000,,
APCL_12160L1778,1010,APCL_14158L0909_APCL14_156,1012,1010,6,-4.61514096232586E+0001,-4.61514096232586E+0001,*,APCL_14159L0781_APCL14_157,1012,1010,14,-8.64238474139481E+0001, 0.00000000000000E+0000,,1010,29,-1.98240299745382E+0002,-1.98240299745382E+0002,-,
APCL_12160L1778,1010,APCL_14158L0909_APCL14_156,1012,1010,6,-4.61514096232586E+0001,-4.61514096232586E+0001,*,APCL_14197L1276_APCL14_195,1012,1010,12,-6.82736281863418E+0001,-6.82736281863418E+0001,*,1010,31,-2.00244159728160E+0002, 0.00000000000000E+0000,,
APCL_12170L1779,1009,APCL_14158L0909_APCL14_156,1012,1009,3,-6.83431277897760E+0001,-6.83431277897760E+0001,*,APCL_14168L0912_APCL14_166,1012,1009,3,-5.99937838414833E+0001,-5.99937838414833E+0001,*,1009,13,-1.80281369406891E+0002,-1.80281369406891E+0002,-,
APCL_12170L1779,1009,APCL_14168L0912_APCL14_166,1012,1009,3,-5.99937838414833E+0001,-5.99937838414833E+0001,*,APCL_14197L1276_APCL14_195,1012,1009,6,-7.64136488879061E+0001, 0.00000000000000E+0000,,1009,20,-1.97987449535157E+0002, 0.00000000000000E+0000,,
APCL_12176L1780,1012,APCL_14156L0908_APCL14_154,1012,1012,2,-3.37755676320101E+0001,-3.37755676320101E+0001,*,APCL_14204L0994_APCL14_202,1012,1012,8,-8.07720550808948E+0001, 0.00000000000000E+0000,,1012,17,-1.55592673235985E+0002,-1.55592673235985E+0002,-,
APCL_12176L1780,1012,APCL_14156L0908_APCL14_154,1012,1012,2,-3.37755676320101E+0001,-3.37755676320101E+0001,*,APCL_14168L0912_APCL14_166,1012,1012,7,-8.50432727306097E+0001, 0.00000000000000E+0000,,1012,21,-1.89786751826408E+0002, 0.00000000000000E+0000,,
APCL_12177L1781,1010,APCL_14157L0715_APCL14_155,1012,1010,6,-5.77181639575580E+0001,-5.77181639575580E+0001,*,APCL_14210L0916_APCL14_208,1012,1010,11,-9.30710455987048E+0001, 0.00000000000000E+0000,,1010,25,-1.99373953135522E+0002,-1.99373953135522E+0002,-,
APCL_12177L1781,1010,APCL_14157L0715_APCL14_155,1012,1010,6,-5.77181639575580E+0001,-5.77181639575580E+0001,*,APCL_14204L0994_APCL14_202,1012,1010,9,-8.12132623624873E+0001, 0.00000000000000E+0000,,1010,26,-2.11455717137741E+0002, 0.00000000000000E+0000,,
APCL_12179L1782,1010,APCL_14157L0715_APCL14_155,1012,1010,7,-7.20542403747125E+0001, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,1010,2,-5.97107879651731E+0001,-5.97107879651731E+0001,*,1010,14,-1.74364447812402E+0002,-1.74364447812402E+0002,-,
APCL_12179L1782,1010,APCL_14157L0715_APCL14_155,1012,1010,7,-7.20542403747125E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,1010,7,-6.72840295142699E+0001,-6.72840295142699E+0001,*,1010,19,-1.81726609200340E+0002, 0.00000000000000E+0000,,
APCL_13001L0447,927,APCL_14158L0909_APCL14_156,1012,927,4,-3.78575669206019E+0001,-3.78575669206019E+0001,*,APCL_14204L0994_APCL14_202,1012,927,11,-7.67623583139740E+0001, 0.00000000000000E+0000,,927,17,-1.48821640542104E+0002,-1.48821640542104E+0002,*,
APCL_13001L0447,927,APCL_14157L0715_APCL14_155,1012,927,10,-9.72998859938607E+0001, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,927,4,-3.78575669206019E+0001,-3.78575669206019E+0001,*,927,15,-1.52534795143922E+0002, 0.00000000000000E+0000,,
APCL_13003L1673_APCL13_002,0
APCL_13004L0454,939,APCL_14158L0909_APCL14_156,1012,939,3,-6.62926401250490E+0001,-6.62926401250490E+0001,*,APCL_14163L1292_APCL14_161,1012,939,9,-8.74464227306340E+0001, 0.00000000000000E+0000,,939,18,-2.00396862851873E+0002,-2.00396862851873E+0002,-,
