Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2266,714,L0816,809,714,24,-1.24939040787458E+0002,-1.24939040787458E+0002,*,L1607,809,714,25,-1.36756318767023E+0002,-1.36756318767023E+0002,*,714,52,-2.73829590393701E+0002,-2.73829590393701E+0002,-,
L2266,714,L0816,809,714,24,-1.24939040787458E+0002,-1.24939040787458E+0002,*,L2500,710,632,34,-1.83556541152079E+0002, 0.00000000000000E+0000,,714,59,-3.11622120919691E+0002, 0.00000000000000E+0000,,
L2210,736,L0886,809,736,22,-1.28020536817903E+0002,-1.28020536817903E+0002,*,L1215,753,687,2, 2.02677287218071E+0002, 2.02677287218071E+0002,*,736,24, 6.84199661996552E+0001, 6.84199661996552E+0001,*,
L2210,736,L0913,809,736,24,-1.38179981815688E+0002, 0.00000000000000E+0000,,L1215,753,687,2, 2.02677287218071E+0002, 2.02677287218071E+0002,*,736,31, 2.90502128659260E+0001, 0.00000000000000E+0000,,
L2211,794,L0886,809,794,34,-1.93464826598269E+0002, 0.00000000000000E+0000,,L0913,809,794,30,-1.73635424926131E+0002,-1.73635424926131E+0002,-,794,61,-3.48099696812476E+0002,-3.48099696812476E+0002,-,
L2211,794,L0886,809,794,34,-1.93464826598269E+0002, 0.00000000000000E+0000,,L1671,789,775,32,-1.71251969417100E+0002,-1.71251969417100E+0002,-,794,65,-3.55512923969927E+0002, 0.00000000000000E+0000,,
L2212,767,L0913,809,767,27,-1.52576054870060E+0002,-1.52576054870060E+0002,-,L1607,809,767,31,-1.70734045487684E+0002,-1.70734045487684E+0002,-,767,59,-3.28960987962266E+0002,-3.28960987962266E+0002,-,
L2212,767,L0984,807,765,33,-1.80361907535187E+0002, 0.00000000000000E+0000,,L1607,809,767,31,-1.70734045487684E+0002,-1.70734045487684E+0002,-,767,64,-3.49587187483832E+0002, 0.00000000000000E+0000,,
L2269,0
L2214,794,L0913,809,794,26,-1.32439573097528E+0002,-1.32439573097528E+0002,*,L1607,809,794,21,-1.03725639869178E+0002,-1.03725639869178E+0002,*,794,51,-2.59021682590683E+0002,-2.59021682590683E+0002,-,
L2214,794,L0816,809,794,36,-1.94657261323209E+0002, 0.00000000000000E+0000,,L1607,809,794,21,-1.03725639869178E+0002,-1.03725639869178E+0002,*,794,60,-3.14927634467814E+0002, 0.00000000000000E+0000,,
L2270,750,L0886,809,750,30,-1.77639597339221E+0002,-1.77639597339221E+0002,-,L1607,809,750,28,-1.61956393202296E+0002,-1.61956393202296E+0002,-,750,61,-3.55032898230522E+0002,-3.55032898230522E+0002,-,
