"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"50","D4714","1_a","P12","B7","P11","A1","P8","P10",20.2,"A3","D4698-D4793",NA,9.9,1.2,200,"P7","P76"
"51","D4721","1_a","P12","C7","P11","A1","P8","P10",31.4,"H3","D4698-D4793",NA,6.4,4.7,200,"P7","P76"
"52","D4724","1_a","P12","D7","P11","A1","P8","P10",19.78,"C4","D4698-D4793",NA,10.1,1,200,"P7","P76"
"53","D4732","1_a","P12","E7","P11","A1","P8","P10",34.6,"C5","D4698-D4793",NA,5.8,5.3,200,"P7","P76"
"54","D4733","1_a","P12","F7","P11","A1","P8","P10",39.2,"D5","D4698-D4793",NA,5.1,6,200,"P7","P76"
"55","D4749","1_a","P12","G7","P11","A1","P8","P10",35,"D7","D4698-D4793",NA,5.7,5.4,200,"P7","P76"
"56","D4752","1_a","P12","H7","P11","A1","P8","P10",28,"G7","D4698-D4793",NA,7.1,4,200,"P7","P76"
"57","D4760","1_a","P12","A8","P11","A1","P8","P10",27.6,"G8","D4698-D4793",NA,7.2,3.9,200,"P7","P76"
"58","D4771","1_a","P12","B8","P11","A1","P8","P10",19.48,"B10","D4698-D4793",NA,10.3,0.8,200,"P7","P76"
"59","D4781","1_a","P12","C8","P11","A1","P8","P10",31.2,"D11","D4698-D4793",NA,6.4,4.7,200,"P7","P76"
"60","D4783","1_a","P12","D8","P11","A1","P8","P10",43.4,"F11","D4698-D4793",NA,4.6,6.5,200,"P7","P76"
"61","D4785","1_a","P12","E8","P11","A1","P8","P10",29.6,"H11","D4698-D4793",NA,6.8,4.3,200,"P7","P76"
"62","D4800","1_a","P12","F8","P11","A1","P8","P10",112,"G1","D4794-D4887",NA,1.8,9.3,200,"P9","P76"
"63","D4839","1_a","P12","G8","P11","A1","P8","P10",102,"F6","D4794-D4887",NA,2,9.1,200,"P9","P76"
"64","D4852","1_a","P12","H8","P11","A1","P8","P10",95.4,"C8","D4794-D4887",NA,2.1,9,200,"P9","P76"
"65","D4883","1_a","P12","A9","P11","A1","P8","P10",78,"B12","D4794-D4887",NA,2.6,8.5,200,"P9","P76"
