"","Second.Sample_ID","First.Sample_ID","Second.Extraction_ID","First.Extraction_ID","Second.Digest_ID","First.Digest_ID","Second.ID","First.ID","Loci.typed","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","Mismatch.prop","First.Lat","First.Lon","First.Date","First.Size","Second.Lat","Second.Lon","Second.Date","Second.Size","date_eval","distkm","disteval"
"24","APCL12_183","APCL13_044","E1847","E0169","D2597","D0382","L2569","L0416",807,809,797,10,0,0,"Fuzzy match",0.0123915737298637,10.756494,124.78585,2013-05-23,9.1,10.756547,124.785842,2012-05-11,7.8,NA,0.00595752088791844,NA
"25","APCL12_184","APCL13_045","E1848","E0170","D2598","D0383","L2570","L0417",808,809,801,7,0,0,"Fuzzy match",0.00866336633663366,10.756494,124.78585,2013-05-23,8.9,10.756547,124.785842,2012-05-11,7.7,NA,0.00595752088791844,NA
"26","APCL12_189","APCL13_060","E1853","E0185","D2603","D0398","L2571","L0420",793,809,778,15,0,0,"Fuzzy match",0.0189155107187894,10.754999,124.785127,2013-05-23,5.1,10.755149,124.78508,2012-05-11,4.4,NA,0.0174515765290762,NA
"27","APCL12_213","APCL13_031","E1877","E0156","D2625","D0369","L2431","L0410",808,808,793,14,0,0,"Fuzzy match",0.0173482032218092,10.764276,124.785345,2013-05-23,7.4,10.764465,124.785346,2012-05-11,4.4,NA,0.0210161106168577,NA
"28","APCL12_218","APCL13_027","E2262","E0152","D2631","D0842","L2292","L0485",779,753,682,43,0,0,"Fuzzy match",0.0593103448275862,10.764475,124.785415,2013-05-23,9.4,NA,NA,2012-05-11,6.6,NA,NA,NA
"29","APCL12_218","APCL14_017","E2262","E0802","D2631","D0982","L2292","L0893",809,753,716,37,0,0,"Fuzzy match",0.049136786188579,10.764416,124.785318,2014-06-10,9.3,NA,NA,2012-05-11,6.6,NA,NA,NA
"30","APCL12_249","APCL13_284","E2293","E0407","D2644","D0620","L2434","L0316",802,808,790,11,0,0,"Fuzzy match",0.0137328339575531,10.871741,124.713932,2013-05-28,9.2,10.871614,124.713905,2012-05-14,6.6,NA,0.0144261049864625,NA
"31","APCL12_256","APCL13_295","E2301","E0418","D2651","D0631","L2436","L0327",807,808,790,16,0,0,"Fuzzy match",0.0198511166253102,10.871446,124.714037,2013-05-28,9,10.87142,124.713943,2012-05-14,5.1,NA,0.0106636472260802,NA
"32","APCL12_274","APCL13_622","E2319","E0740","D2669","D0950","L2318","L0690",809,807,783,24,0,0,"Fuzzy match",0.0297397769516729,10.871466,124.714249,2013-06-04,8.7,10.871482,124.714123,2012-05-14,6.2,NA,0.0138738770555822,NA
"33","APCL12_275","APCL13_309","E2320","E0432","D2670","D0645","L2437","L0340",809,809,805,4,0,0,"Fuzzy match",0.00494437577255871,10.871445,124.714212,2013-05-28,7,10.871444,124.71407,2012-05-14,4.1,NA,0.0155067444726895,NA
"34","APCL12_276","APCL13_310","E2321","E0433","D2671","D0646","L2319","L0341",809,809,801,8,0,0,"Fuzzy match",0.00988875154511743,10.871468,124.714191,2013-05-28,8,10.871532,124.71412,2012-05-14,4.5,NA,0.0105241248101645,NA
"35","APCL13_101","APCL13_090","E0226","E0215","D0439","D0428","L0427","L0425",806,806,806,0,0,3.86592737541535e-180,"Exact match",0,10.744014,124.786298,2013-05-24,10.3,10.80914,124.765433,2013-05-25,6.1,NA,7.59187272989002,"FAIL"
"36","APCL13_131","APCL13_120","E0256","E0245","D0469","D0458","L1092","L1084",807,809,804,3,0,0,"Fuzzy match",0.00371747211895911,10.799136,124.7685,2013-05-25,11.1,10.798912,124.768684,2013-05-25,10.7,"FAIL",0.0320046025191704,NA
"37","APCL13_145","APCL14_036","E0270","E0819","D0483","D1040","L1098","L0723",806,809,788,18,0,0,"Fuzzy match",0.0223325062034739,10.652146,124.783819,2014-06-12,11.1,10.652843,124.783702,2013-05-26,9.6,NA,0.0785503398461795,NA
"38","APCL13_187","APCL14_140","E0311","E0907","D0524","D1058","L1621","L0728",808,808,804,4,0,0,"Fuzzy match",0.00495049504950495,10.633516,124.776908,2014-06-16,7.8,10.87405,124.711052,2013-05-27,10.1,NA,27.6968273536137,"FAIL"
"39","APCL13_209","APCL13_207","E0332","E0330","D0545","D0543","L1626","L0444",808,808,792,15,0,0,"Fuzzy match",0.0185873605947955,10.873354,124.712082,2013-05-27,8.7,10.873211,124.712084,2013-05-27,8.3,"FAIL",0.0159018749496012,NA
"40","APCL13_453","APCL14_450","E0576","E1483","D0789","D1100","L2490","L0936",807,763,725,38,0,0,"Fuzzy match",0.0498034076015727,10.871389,124.714052,2014-06-24,4.4,10.873739,124.710795,2013-05-31,2.4,NA,0.441334892247082,"FAIL"
"41","APCL13_510","APCL14_003","E0633","E0788","D1934","D1036","L2238","L0719",803,774,743,26,0,0,"Fuzzy match",0.0338101430429129,10.743886,124.786347,2014-06-07,9.9,10.74427,124.786506,2013-06-01,10.4,NA,0.0460966353128712,NA
"42","APCL13_557","APCL14_289","E0676","E1055","D0889","D1382","L1218","L1206",756,806,721,32,0,0,"Fuzzy match",0.0424966799468791,10.634499,124.776365,2014-06-22,9.5,10.633398,124.776942,2013-06-03,8,NA,0.137710840838879,NA
"43","APCL13_609","APCL14_546","E0727","E1385","D1946","D1129","L2529","L0747",803,809,768,35,0,0,"Fuzzy match",0.0435865504358655,10.87441,124.710673,2014-07-02,8.1,10.870106,124.715314,2013-06-04,4.2,NA,0.697051162308662,"FAIL"
"44","APCL13_626","APCL13_313","E0744","E0436","D0952","D0649","L0691","L0344",808,809,747,61,0,0,"Fuzzy match",0.0754950495049505,10.8715,124.714174,2013-05-28,4.9,10.87152,124.714161,2013-06-04,4.9,NA,0.00263776661922888,NA
"45","APCL13_651","APCL13_639","E0769","E0757","D1796","D1232","L1725","L0979",809,809,808,1,0,0,"Fuzzy match",0.00123609394313968,10.873204,124.712418,2013-06-04,5.8,10.860768,124.72113,2013-06-04,7.7,"FAIL",1.67847381678646,"FAIL"
"46","APCL14_006","APCL13_089","E0791","E0214","D1039","D0427","L0722","L0424",808,809,805,3,0,0,"Fuzzy match",0.00371287128712871,10.744014,124.786298,2013-05-24,7.9,10.742899,124.787067,2014-06-07,8.8,NA,0.149764186278574,NA
"47","APCL14_007","APCL13_205","E0792","E0328","D1135","D0541","L0945","L0443",804,806,777,24,0,0,"Fuzzy match",0.0299625468164794,10.873304,124.712004,2013-05-27,10.3,10.742899,124.787067,2014-06-07,10.2,NA,16.6576481635487,"FAIL"
"48","APCL14_017","APCL13_027","E0802","E0152","D0982","D0842","L0893","L0485",779,809,753,26,0,0,"Fuzzy match",0.0333761232349166,10.764475,124.785415,2013-05-23,9.4,10.764416,124.785318,2014-06-10,9.3,NA,0.0124629474012137,NA
"49","APCL14_032","APCL13_147","E0815","E0272","D1800","D0485","L1739","L0434",808,801,778,22,0,0,"Fuzzy match",0.0275,10.652427,124.783547,2013-05-26,11,10.652397,124.78372,2014-06-12,9.6,NA,0.0191971285511125,NA
"50","APCL14_049","APCL13_565","E0832","E0684","D1045","D0897","L0726","L0670",809,809,803,6,0,0,"Fuzzy match",0.00741656365883807,10.633601,124.776791,2013-06-03,9.6,10.63357,124.776796,2014-06-12,8.8,NA,0.00349072843421782,NA
"51","APCL14_060","APCL13_572","E0842","E0691","D1049","D0904","L0921","L0874",768,809,745,23,0,0,"Fuzzy match",0.0299479166666667,10.633688,124.776792,2013-06-03,3,10.633935,124.776683,2014-06-12,8.5,NA,0.0299369998821374,NA
"52","APCL14_088","APCL13_654","E0867","E0772","D1051","D0970","L0922","L0697",807,807,804,3,0,0,"Fuzzy match",0.00371747211895911,10.861129,124.721479,2013-06-04,3.1,10.872858,124.711873,2014-06-13,8.9,NA,1.67371413009982,"FAIL"
"53","APCL14_095","APCL13_485","E0871","E0608","D1052","D0821","L0923","L0658",804,809,793,11,0,0,"Fuzzy match",0.013681592039801,10.873114,124.711957,2013-05-31,2.7,10.873067,124.712098,2014-06-13,7.5,NA,0.0162600083430184,NA
"54","APCL14_125","APCL13_152","E0894","E0277","D1962","D0490","L2348","L1102",807,766,742,24,0,0,"Fuzzy match",0.031331592689295,10.640804,124.785091,2013-05-26,5.2,NA,NA,2014-06-16,8.8,NA,NA,NA
"55","APCL14_126","APCL13_150","E0895","E0275","D1013","D0488","L1701","L1101",809,808,806,2,0,0,"Fuzzy match",0.00247524752475248,10.640804,124.785091,2013-05-26,3.2,NA,NA,2014-06-16,8.1,NA,NA,NA
"56","APCL14_153","APCL13_584","E0920","E0702","D1802","D0915","L1741","L0677",809,809,754,55,0,0,"Fuzzy match",0.0679851668726823,10.633996,124.776721,2013-06-03,8.2,10.632948,124.776961,2014-06-16,8.4,NA,0.119447545121542,NA
"57","APCL14_244","APCL13_653","E1010","E0771","D1080","D0969","L0712","L0696",809,808,781,27,0,0,"Fuzzy match",0.0334158415841584,10.861129,124.721479,2013-06-04,3.6,10.861272,124.721466,2014-06-18,8.1,NA,0.0159643802259759,NA
"58","APCL14_253","APCL13_587","E1019","E0705","D1081","D0918","L0737","L0678",809,800,770,30,0,0,"Fuzzy match",0.0375,10.63402,124.776658,2013-06-03,9.1,10.634,124.776612,2014-06-22,9.3,NA,0.00549723742547527,NA
"59","APCL14_268","APCL13_601","E1034","E0719","D1405","D0932","L1013","L0683",809,807,793,14,0,0,"Fuzzy match",0.0173482032218092,10.634111,124.776677,2013-06-03,5.3,10.634374,124.776761,2014-06-22,8.3,NA,0.0306510191312254,NA
"60","APCL14_307","APCL14_315","E1072","E1080","D1804","D1357","L1728","L0806",809,809,803,6,0,0,"Fuzzy match",0.00741656365883807,10.635201,124.776152,2014-06-22,8.4,10.635035,124.776226,2014-06-22,4.8,"FAIL",0.0201522392960077,NA
"61","APCL14_330","APCL13_255","E1095","E0378","D1398","D0591","L0606","L0288",809,739,717,22,0,0,"Fuzzy match",0.0297699594046008,10.867029,124.717623,2013-05-28,3.2,10.871491,124.714068,2014-06-24,8.8,NA,0.629976774792947,"FAIL"
"62","APCL14_350","APCL13_258","E1211","E0381","D2209","D0594","L2533","L0291",745,768,664,41,0,0,"Fuzzy match",0.0581560283687943,10.868817,124.71669,2013-05-28,4.7,10.868869,124.716505,2014-06-23,8.4,NA,0.0210131084684965,NA
"63","APCL14_372","APCL13_390","E1233","E0513","D2284","D0726","L2410","L0400",762,758,687,25,0,0,"Fuzzy match",0.0351123595505618,10.869036,124.716474,2013-05-30,2.4,10.869575,124.716176,2014-06-23,7,NA,0.0681986398096299,NA
"64","APCL14_390","APCL13_615","E1251","E0733","D1088","D0944","L1282","L0884",809,809,782,27,0,0,"Fuzzy match",0.0333745364647713,10.870799,124.714542,2013-06-04,5.3,10.871378,124.714208,2014-06-23,9.1,NA,0.0739951071846096,NA
"65","APCL14_423","APCL14_399","E1284","E1260","D1315","D1305","L1341","L0798",809,809,802,7,0,0,"Fuzzy match",0.00865265760197775,10.871527,124.714255,2014-06-23,5.5,10.871697,124.713987,2014-06-24,5.5,NA,0.0348394435515082,NA
"66","APCL14_424","APCL14_400","E1285","E1261","D1812","D1306","L1747","L0799",809,806,802,4,0,0,"Fuzzy match",0.00496277915632754,10.871527,124.714255,2014-06-23,4.3,10.871694,124.713949,2014-06-24,5.2,NA,0.0382279348822817,NA
"67","APCL14_425","APCL14_401","E1286","E1262","D1805","D1307","L1729","L1005",809,809,805,4,0,0,"Fuzzy match",0.00494437577255871,10.871536,124.714258,2014-06-23,5.8,10.871701,124.713919,2014-06-24,5.2,NA,0.0413156191696733,NA
"68","APCL14_445","APCL13_351","E1478","E0474","D1096","D0687","L0742","L0370",807,808,794,12,0,0,"Fuzzy match",0.0148883374689826,10.858413,124.724442,2013-05-29,3.6,10.871446,124.71402,2014-06-24,4.2,NA,1.84267795538439,"FAIL"
"69","APCL14_447","APCL13_447","E1480","E0570","D1098","D0783","L1238","L0846",809,809,800,9,0,0,"Fuzzy match",0.0111248454882571,10.873849,124.71059,2013-05-31,5.1,10.871447,124.713943,2014-06-24,5.3,NA,0.453209031738552,"FAIL"
"70","APCL14_511","APCL13_587","E1350","E0705","D1112","D0918","L1705","L0678",809,753,723,30,0,0,"Fuzzy match",0.0398406374501992,10.63402,124.776658,2013-06-03,9.1,10.76727,124.784808,2014-06-29,7,NA,14.8434586011969,"FAIL"
"71","APCL14_511","APCL14_253","E1350","E1019","D1112","D1081","L1705","L0737",800,753,697,48,0,0,"Fuzzy match",0.0644295302013423,10.634,124.776612,2014-06-22,9.3,10.76727,124.784808,2014-06-29,7,NA,14.8459808173899,"FAIL"
"72","APCL14_555","APCL13_362","E1394","E0485","D1223","D0698","L0974","L0377",808,804,792,11,0,0,"Fuzzy match",0.0136986301369863,10.860775,124.722092,2013-05-29,3.8,10.874248,124.710918,2014-07-02,3.6,NA,1.93217524625642,"FAIL"
"73","APCL15_001","APCL14_004","E2886","E0789","D3165","D1037","L2823","L0720",809,809,799,10,0,0,"Fuzzy match",0.0123609394313968,10.743582,124.786624,2014-06-07,10,10.74352,124.786586,2015-05-28,10.2,NA,0.00804713160680537,NA
"74","APCL15_126","APCL14_035","E2486","E0818","D2844","D1138","L2683","L1242",809,809,798,11,0,0,"Fuzzy match",0.0135970333745365,10.652146,124.783819,2014-06-12,8.5,10.652056,124.783842,2015-06-11,12.1,NA,0.0103182921396503,NA
"75","APCL15_127","APCL14_034","E2413","E0817","D2771","D1245","L2631","L1290",809,808,805,3,0,0,"Fuzzy match",0.00371287128712871,10.652146,124.783819,2014-06-12,7.2,10.652056,124.783842,2015-06-11,10.6,NA,0.0103182921396503,NA
"76","APCL15_354053","APCL14_278","E2929","E1044","D3207","D1372","L2958","L1196",729,809,704,25,0,0,"Fuzzy match",0.0342935528120713,10.634474,124.776554,2014-06-22,9.4,10.634435,124.776475,2015-06-14,10,NA,0.00966196969904783,NA
"77","APCL15_354533","APCL14_057","E2398","E0840","D2756","D1147","L2620","L0951",809,809,798,11,0,0,"Fuzzy match",0.0135970333745365,10.633875,124.77672,2014-06-12,6.7,10.633853,124.776707,2015-06-13,10,NA,0.00283060062550438,NA
"78","APCL15_354733","APCL14_050","E2386","E0833","D2744","D1046","L2612","L0727",809,808,804,4,0,0,"Fuzzy match",0.00495049504950495,10.63357,124.776796,2014-06-12,9.5,10.633557,124.776765,2015-06-13,10,NA,0.00368417459746963,NA
"79","APCL15_355180","APCL13_125","E2448","E0250","D2806","D0463","L2882","L1088",809,804,793,11,0,0,"Fuzzy match",0.013681592039801,10.798979,124.768612,2013-05-25,3.2,10.809225,124.765292,2015-06-07,9.9,NA,1.19562010065318,"FAIL"
"80","APCL15_355398","APCL14_022","E2553","E0807","D2911","D0984","L2745","L0700",807,798,741,55,0,0,"Fuzzy match",0.0690954773869347,10.854869,124.727531,2014-06-11,6.8,10.854871,124.727547,2015-06-05,8.9,NA,0.00175822632341903,NA
"81","APCL15_355505","APCL14_266","E2950","E1032","D3228","D1366","L2861","L1302",809,807,797,10,0,0,"Fuzzy match",0.0123915737298637,10.634294,124.776768,2014-06-22,7.5,10.634344,124.776764,2015-06-14,9.2,NA,0.00557618617512326,NA
"82","APCL15_355541","APCL14_295","E2930","E1061","D3208","D1406","L2959","L1014",809,809,792,17,0,0,"Fuzzy match",0.0210135970333745,10.634661,124.776372,2014-06-22,4.6,10.634824,124.776246,2015-06-14,9.4,NA,0.0227623091637217,NA
"83","APCL15_355571","APCL14_280","E2966","E1046","D3244","D1374","L2870","L1198",762,800,712,41,0,0,"Fuzzy match",0.0544488711819389,10.634459,124.776523,2014-06-22,7.8,10.634507,124.77634,2015-06-14,10,NA,0.0206989431132541,NA
"84","APCL15_355704","APCL14_558","E2617","E1397","D2975","D1225","L2764","L1288",807,743,708,34,0,0,"Fuzzy match",0.045822102425876,10.874353,124.71062,2014-07-02,4.7,10.860889,124.721866,2015-06-04,8.6,NA,1.93637601085514,"FAIL"
"85","APCL15_355853","APCL14_044","E2390","E0827","D2748","D1226","L2615","L0771",809,805,795,10,0,0,"Fuzzy match",0.0124223602484472,10.633627,124.776795,2014-06-12,6.5,10.633645,124.776801,2015-06-13,9.1,NA,0.0021079056962653,NA
"86","APCL15_355870","APCL14_287","E2910","E1053","D3189","D1381","L2843","L1205",780,800,754,17,0,0,"Fuzzy match",0.0220492866407263,10.634532,124.776374,2014-06-22,9.2,10.634533,124.776341,2015-06-14,10.5,NA,0.00360879025517513,NA
"87","APCL15_355880","APCL14_286","E2404","E1052","D2762","D1380","L2623","L1204",796,809,784,12,0,0,"Fuzzy match",0.0150753768844221,10.634532,124.776374,2014-06-22,7.8,10.634507,124.77634,2015-06-14,9.8,NA,0.00463921904959741,NA
"88","APCL15_355896","APCL14_255","E2411","E1021","D2769","D1082","L2629","L0933",808,746,709,36,0,0,"Fuzzy match",0.0483221476510067,10.634084,124.776499,2014-06-22,8.2,10.63413,124.776436,2015-06-14,9.7,NA,0.00857733981252606,NA
"89","APCL15_355908","APCL13_599","E2960","E0717","D3238","D0930","L2867","L1224",809,778,752,26,0,0,"Fuzzy match",0.0334190231362468,10.634161,124.776664,2013-06-03,8.6,10.634243,124.776807,2015-06-14,9.7,NA,0.0180930838077417,NA
"90","APCL15_356249","APCL14_254","E2949","E1020","D3227","D1183","L2860","L1246",809,790,762,28,0,0,"Fuzzy match",0.0354430379746835,10.634013,124.776613,2014-06-22,9.2,10.634052,124.776521,2015-06-14,0.6,NA,0.0109501189254646,NA
"91","APCL15_356339","APCL14_024","E2558","E0809","D2916","D0986","L2748","L1228",807,798,773,23,0,0,"Fuzzy match",0.028894472361809,10.85495,124.72786,2014-06-11,4.8,10.854968,124.727738,2015-06-05,8.3,NA,0.0134724527387974,NA
"92","APCL15_363882","APCL14_042","E2360","E0825","D2718","D1043","L2589","L0724",809,738,710,28,0,0,"Fuzzy match",0.037940379403794,10.63365,124.776777,2014-06-12,8.8,10.633645,124.776801,2015-06-13,9.6,NA,0.00268013628525034,NA
"93","APCL15_364555","APCL14_129","E2490","E0898","D2848","D1014","L2687","L0906",808,780,750,29,0,0,"Fuzzy match",0.0372272143774069,10.652877,124.783452,2014-06-16,4.9,10.652848,124.783444,2015-06-09,10.7,NA,0.00334031974072376,NA
"94","APCL15_368572","APCL14_141","E2371","E0908","D2729","D1059","L2600","L0927",805,808,798,7,0,0,"Fuzzy match",0.00869565217391304,10.633547,124.776866,2014-06-16,6,10.633573,124.776792,2015-06-13,8.8,NA,0.00858836568773957,NA
"95","APCL15_369143","APCL14_047","E2370","E0830","D2728","D1142","L2599","L0750",809,804,782,22,0,0,"Fuzzy match",0.027363184079602,10.633564,124.776807,2014-06-12,6.7,10.633518,124.776757,2015-06-13,9.8,NA,0.00748424997052789,NA
"96","APCL15_369541","APCL14_293","E2951","E1059","D3229","D1442","L2862","L0631",749,809,725,24,0,0,"Fuzzy match",0.0320427236315087,10.634634,124.776345,2014-06-22,4.6,10.634571,124.776379,2015-06-14,9.4,NA,0.00792979717589722,NA
"97","APCL15_369558","APCL13_103","E2538","E0228","D2896","D0441","L2731","L1072",809,798,779,19,0,0,"Fuzzy match",0.0238095238095238,10.806381,124.766116,2013-05-25,10.2,10.854841,124.727796,2015-06-05,10.2,NA,6.82282666721169,"FAIL"
"98","APCL15_370935","APCL14_182","E2768","E0949","D3030","D1277","L2780","L0783",809,809,734,75,0,0,"Fuzzy match",0.0927070457354759,10.874177,124.710638,2014-06-17,5.5,10.874146,124.710799,2015-05-29,10.1,NA,0.017915626411511,NA
"99","APCL15_371404","APCL13_042","E2852","E0167","D3142","D0380","L2935","L0415",803,809,789,14,0,0,"Fuzzy match",0.0174346201743462,10.756597,124.78595,2013-05-23,7.4,10.743679,124.786748,2015-05-28,10.1,NA,1.43905899567206,"FAIL"
"100","APCL15_371477","APCL13_205","E2836","E0328","D3127","D0541","L2815","L0443",804,808,773,30,0,0,"Fuzzy match",0.037359900373599,10.873304,124.712004,2013-05-27,10.3,10.743416,124.78691,2015-05-28,11.2,NA,16.5991674852734,"FAIL"
"101","APCL15_371477","APCL14_007","E2836","E0792","D3127","D1135","L2815","L0945",806,808,773,32,0,0,"Fuzzy match",0.0397515527950311,10.742899,124.787067,2014-06-07,10.2,10.743416,124.78691,2015-05-28,11.2,NA,0.0599918976056484,NA
"102","APCL15_371672","APCL14_132","E2417","E0901","D2775","D1015","L2634","L0713",807,767,733,32,0,0,"Fuzzy match",0.0418300653594771,10.652871,124.783833,2014-06-16,5.8,10.652895,124.783526,2015-06-09,10.7,NA,0.0336543957532221,NA
"103","APCL15_371727","APCL14_262","E2902","E1028","D3181","D1362","L2837","L1192",738,809,711,27,0,0,"Fuzzy match",0.0365853658536585,10.634281,124.776691,2014-06-22,6.8,10.634243,124.776807,2015-06-14,8.8,NA,0.013362290733881,NA
"104","APCL15_371766","APCL13_040","E2499","E0165","D2857","D0378","L2695","L0413",805,809,787,18,0,0,"Fuzzy match",0.022360248447205,10.763917,124.785234,2013-05-23,7.3,10.798416,124.768668,2015-06-07,9.6,NA,4.24148631605955,"FAIL"
"105","APCL15_371825","APCL14_283","E2406","E1049","D2764","D1377","L2625","L1201",801,809,776,25,0,0,"Fuzzy match",0.031210986267166,10.634438,124.776402,2014-06-22,8.9,10.634442,124.776383,2015-06-14,10.7,NA,0.00212281779716182,NA
"106","APCL15_372039","APCL13_089","E2521","E0214","D2879","D0427","L2716","L0424",808,808,806,1,0,0,"Fuzzy match",0.00123915737298637,10.744014,124.786298,2013-05-24,7.9,10.768882,124.783655,2015-06-07,8.5,NA,2.78022797064714,"FAIL"
